ชื่อสาขา,เลขที่เอกสาร,รายการขาย,จำนวน,ราคาต่อหน่วย,ส่วนลดรายการ,มูลค่าก่อนภาษี,ส่วนลด,ยอดขาย,ภาษี,ราคาสุทธิ
,,1. MINI011/Sushi Bento 2 Friends (หน่วย),1,245,0,228.97,,,,
,,2. APP003/Salmon Tataki (หน่วย),1,140,0,130.84,,,,
,,3. MINI014/Sushi Moriawase Set (หน่วย),1,220,0,205.61,,,,
,,,,,,565.42,304.21,261.22,18.29,280
สนามบินดอนเมือง,ABB-001-2602/00271,2026-02-23 21:32,,,,,,,,
,,1. MINI014/Sushi Moriawase Set (หน่วย),1,220,0,205.61,,,,
,,2. MED008/Sushi Bento Super Maki Set M (หน่วย),1,240,0,224.3,,,,
,,,,,,429.91,300.93,128.97,9.03,138
สนามบินดอนเมือง,ABB-001-2602/00272,2026-02-23 21:32,,,,,,,,
,,1. MINI011/Sushi Bento 2 Friends (หน่วย),1,245,0,228.97,,,,
,,2. MINI014/Sushi Moriawase Set (หน่วย),1,220,0,205.61,,,,
,,,,,,434.58,304.21,130.37,9.13,140
สนามบินดอนเมือง,ABB-001-2602/00273,2026-02-23 21:33,,,,,,,,
,,1. MINI011/Sushi Bento 2 Friends (หน่วย),2,245,0,457.94,,,,
,,,,,,457.94,320.56,137.38,9.62,147
สนามบินดอนเมือง,ABB-001-2602/00274,2026-02-23 21:33,,,,,,,,
,,1. MINI011/Sushi Bento 2 Friends (หน่วย),1,245,0,228.97,,,,
,,,,,,228.97,160.28,69.16,4.84,74
สนามบินดอนเมือง,ABB-001-2602/00275,2026-02-23 21:34,,,,,,,,
,,1. MINI011/Sushi Bento 2 Friends (หน่วย),1,245,0,228.97,,,,
,,2. MINI002/Salmon Aburi Sushi 7 pcs. (หน่วย),1,230,0,214.95,,,,
,,3. MINI012/Sushi Bento Aburi Set (หน่วย),1,275,0,257.01,,,,
,,,,,,700.93,490.65,210.28,14.72,225
สนามบินดอนเมือง,ABB-001-2602/00276,2026-02-23 21:35,,,,,,,,
,,1. MINI011/Sushi Bento 2 Friends (หน่วย),1,245,0,228.97,,,,
,,2. MINI004/Salmon Varity Set S (หน่วย),1,200,0,186.92,,,,
,,,,,,415.89,291.12,124.77,8.73,134
สนามบินดอนเมือง,ABB-001-2602/00277,2026-02-23 21:35,,,,,,,,
,,1. MINI004/Salmon Varity Set S (หน่วย),2,200,0,373.83,,,,
,,2. MINI014/Sushi Moriawase Set (หน่วย),1,220,0,205.61,,,,
,,,,,,579.44,405.61,173.83,12.17,186
สนามบินดอนเมือง,ABB-001-2602/00278,2026-02-23 21:36,,,,,,,,
,,1. MINI014/Sushi Moriawase Set (หน่วย),1,220,0,205.61,,,,
,,,,,,205.61,143.93,61.68,4.32,66
สนามบินดอนเมือง,ABB-001-2602/00279,2026-02-23 21:36,,,,,,,,
,,1. MINI012/Sushi Bento Aburi Set (หน่วย),1,275,0,257.01,,,,
,,,,,,257.01,179.91,77.57,5.43,83
สนามบินดอนเมือง,ABB-001-2602/00280,2026-02-23 21:37,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00281,2026-02-23 21:38,,,,,,,,
,,1. MINI010/Sushi Bento Salmon 2 Tone (หน่วย),2,220,0,411.22,,,,
,,,,,,411.22,287.85,123.36,8.64,132
สนามบินดอนเมือง,ABB-001-2602/00282,2026-02-23 21:38,,,,,,,,
,,1. MINI010/Sushi Bento Salmon 2 Tone (หน่วย),1,220,0,205.61,,,,
,,2. MINI012/Sushi Bento Aburi Set (หน่วย),1,275,0,257.01,,,,
,,,,,,462.62,323.83,138.79,9.72,149
สนามบินดอนเมือง,ABB-001-2602/00283,2026-02-23 21:39,,,,,,,,
,,1. MINI014/Sushi Moriawase Set (หน่วย),1,220,0,205.61,,,,
,,2. MINI004/Salmon Varity Set S (หน่วย),1,200,0,186.92,,,,
,,3. MINI012/Sushi Bento Aburi Set (หน่วย),1,275,0,257.01,,,,
,,,,,,649.53,454.67,194.86,13.64,209
สนามบินดอนเมือง,ABB-001-2602/00284,2026-02-23 21:39,,,,,,,,
,,1. MINI012/Sushi Bento Aburi Set (หน่วย),2,275,0,514.02,,,,
,,2. MINI007/Sushi Bento Veggie 1 (หน่วย),1,175,0,163.55,,,,
,,,,,,677.57,474.3,203.27,14.23,218
สนามบินดอนเมือง,ABB-001-2602/00285,2026-02-23 21:40,,,,,,,,
,,1. MINI002/Salmon Aburi Sushi 7 pcs. (หน่วย),1,230,0,214.95,,,,
,,2. DON008/Tori Teriyaki Don (หน่วย),2,130,0,242.99,,,,
,,3. MED008/Sushi Bento Super Maki Set M (หน่วย),1,240,0,224.3,,,,
,,,,,,682.24,477.57,204.67,14.33,219
สนามบินดอนเมือง,ABB-001-2602/00286,2026-02-23 21:41,,,,,,,,
,,1. MINI004/Salmon Varity Set S (หน่วย),1,200,0,186.92,,,,
,,2. MINI005/Tuna Varity Set S (หน่วย),1,275,0,257.01,,,,
,,,,,,443.93,310.75,133.18,9.32,143
สนามบินดอนเมือง,ABB-001-2602/00287,2026-02-23 21:41,,,,,,,,
,,1. DES003/Matcha Red Bean Daifuku (หน่วย),1,39,0,36.45,,,,
,,,,,,36.45,0,36.45,2.55,39
สนามบินดอนเมือง,ABB-001-2602/00288,2026-02-23 21:42,,,,,,,,
,,1. MINI004/Salmon Varity Set S (หน่วย),2,200,0,373.83,,,,
,,2. MED004/Sushi Bento Sashimi Varity (หน่วย),1,420,0,392.52,,,,
,,,,,,766.36,536.45,229.91,16.09,246
สนามบินดอนเมือง,ABB-001-2602/00289,2026-02-23 21:44,,,,,,,,
,,1. MED004/Sushi Bento Sashimi Varity (หน่วย),1,420,0,392.52,,,,
,,,,,,392.52,274.77,117.76,8.24,126
สนามบินดอนเมือง,ABB-001-2602/00290,2026-02-23 21:46,,,,,,,,
,,1. MINI002/Salmon Aburi Sushi 7 pcs. (หน่วย),1,230,0,214.95,,,,
,,2. MED002/Sushi Bento Medium Set 2 (หน่วย),1,420,0,392.52,,,,
,,,,,,607.48,425.23,182.24,12.76,195
สนามบินดอนเมือง,ABB-001-2602/00291,2026-02-23 21:48,,,,,,,,
,,1. MINI014/Sushi Moriawase Set (หน่วย),1,220,0,205.61,,,,
,,,,,,205.61,143.93,61.68,4.32,66
สนามบินดอนเมือง,ABB-001-2602/00292,2026-02-23 21:48,,,,,,,,
,,1. MINI002/Salmon Aburi Sushi 7 pcs. (หน่วย),1,230,0,214.95,,,,
,,2. MINI014/Sushi Moriawase Set (หน่วย),1,220,0,205.61,,,,
,,,,,,420.56,294.39,126.17,8.83,135
สนามบินดอนเมือง,ABB-001-2602/00293,2026-02-23 21:51,,,,,,,,
,,1. MED004/Sushi Bento Sashimi Varity (หน่วย),3,420,0,1177.57,,,,
,,,,,,1177.57,824.3,353.27,24.73,378
สนามบินดอนเมือง,ABB-001-2602/00294,2026-02-23 21:52,,,,,,,,
,,1. MINI004/Salmon Varity Set S (หน่วย),1,200,0,186.92,,,,
,,,,,,186.92,130.84,56.07,3.93,60
สนามบินดอนเมือง,ABB-001-2602/00295,2026-02-23 21:53,,,,,,,,
,,1. MINI012/Sushi Bento Aburi Set (หน่วย),2,275,0,514.02,,,,
,,,,,,514.02,359.81,154.21,10.79,165
สนามบินดอนเมือง,ABB-001-2602/00296,2026-02-23 21:54,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),4,10,0,37.38,,,,
,,,,,,37.38,0,37.38,2.62,40
สนามบินดอนเมือง,ABB-001-2602/00297,2026-02-23 21:58,,,,,,,,
,,1. MINI004/Salmon Varity Set S (หน่วย),1,200,0,186.92,,,,
,,,,,,186.92,130.84,56.07,3.93,60
สนามบินดอนเมือง,ABB-001-2602/00298,2026-02-23 21:59,,,,,,,,
,,1. MINI004/Salmon Varity Set S (หน่วย),1,200,0,186.92,,,,
,,,,,,186.92,130.84,56.07,3.93,60
สนามบินดอนเมือง,ABB-001-2602/00299,2026-02-23 21:59,,,,,,,,
,,1. MINI002/Salmon Aburi Sushi 7 pcs. (หน่วย),1,230,0,214.95,,,,
,,,,,,214.95,150.47,64.49,4.51,69
สนามบินดอนเมือง,ABB-001-2602/00300,2026-02-23 22:01,,,,,,,,
,,1. MED007/Sushi Bento Mori Set (หน่วย),1,310,0,289.72,,,,
,,2. MINI002/Salmon Aburi Sushi 7 pcs. (หน่วย),1,230,0,214.95,,,,
,,,,,,504.67,353.27,151.4,10.6,162
สนามบินดอนเมือง,ABB-001-2602/00301,2026-02-23 22:02,,,,,,,,
,,1. MED003/Salmon Varity Set  M (หน่วย),1,385,0,359.81,,,,
,,,,,,359.81,251.87,108.41,7.59,116
สนามบินดอนเมือง,ABB-001-2602/00302,2026-02-23 22:03,,,,,,,,
,,1. MINI004/Salmon Varity Set S (หน่วย),1,200,0,186.92,,,,
,,,,,,186.92,130.84,56.07,3.93,60
สนามบินดอนเมือง,ABB-001-2602/00303,2026-02-24 05:51 นาย bombom bombom,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),2,10,0,18.69,,,,
,,,,,,18.69,0,18.69,1.31,20
สนามบินดอนเมือง,ABB-001-2602/00304,2026-02-24 05:57 นาย bombom bombom,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00305,2026-02-24 06:04 นาย bombom bombom,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00306,2026-02-24 06:06 นาย bombom bombom,,,,,,,,
,,1. MINI001/Salmon Sushi 7 pcs. (หน่วย),1,210,0,196.26,,,,
,,,,,,196.26,0,196.26,13.74,210
สนามบินดอนเมือง,ABB-001-2602/00307,2026-02-24 06:06 นาย bombom bombom,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00308,2026-02-24 06:26 นาย bombom bombom,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),2,10,0,18.69,,,,
,,2. MINI004/Salmon Varity Set S (หน่วย),1,200,0,186.92,,,,
,,,,,,205.61,0,205.61,14.39,220
สนามบินดอนเมือง,ABB-001-2602/00309,2026-02-24 06:27 นาย bombom bombom,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,2. MINI005/Tuna Varity Set S (หน่วย),1,275,0,257.01,,,,
,,,,,,266.36,0,266.36,18.64,285
สนามบินดอนเมือง,ABB-001-2602/00310,2026-02-24 06:27 นาย bombom bombom,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00311,2026-02-24 06:43 นางสาว OPERATION SETUP,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00312,2026-02-24 06:47 นางสาว OPERATION SETUP,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00313,2026-02-24 07:02 นางสาว OPERATION SETUP,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),2,10,0,18.69,,,,
,,,,,,18.69,0,18.69,1.31,20
สนามบินดอนเมือง,ABB-001-2602/00314,2026-02-24 07:07 นางสาว OPERATION SETUP,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00315,2026-02-24 07:16 นางสาว OPERATION SETUP,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),2,10,0,18.69,,,,
,,,,,,18.69,0,18.69,1.31,20
สนามบินดอนเมือง,ABB-001-2602/00316,2026-02-24 07:20 นางสาว OPERATION SETUP,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),2,10,0,18.69,,,,
,,,,,,18.69,0,18.69,1.31,20
สนามบินดอนเมือง,ABB-001-2602/00317,2026-02-24 07:25 นางสาว OPERATION SETUP,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00318,2026-02-24 07:28 นางสาว OPERATION SETUP,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00319,2026-02-24 07:31 นางสาว OPERATION SETUP,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00320,2026-02-24 07:34 นางสาว OPERATION SETUP,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00321,2026-02-24 07:47 นางสาว OPERATION SETUP,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00322,2026-02-24 07:50 นางสาว OPERATION SETUP,,,,,,,,
,,1. MED006/Sushi Bento Varity Aburi Rolls Set (หน่วย),1,385,0,359.81,,,,
,,,,,,359.81,0,359.81,25.19,385
สนามบินดอนเมือง,ABB-001-2602/00323,2026-02-24 07:53 นางสาว OPERATION SETUP,,,,,,,,
,,1. MINI004/Salmon Varity Set S (หน่วย),1,200,0,186.92,,,,
,,,,,,186.92,0,186.92,13.08,200
สนามบินดอนเมือง,ABB-001-2602/00324,2026-02-24 07:54 นางสาว OPERATION SETUP,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00325,2026-02-24 08:01 นางสาว OPERATION SETUP,,,,,,,,
,,1. MED007/Sushi Bento Mori Set (หน่วย),1,310,0,289.72,,,,
,,,,,,289.72,0,289.72,20.28,310
สนามบินดอนเมือง,ABB-001-2602/00326,2026-02-24 08:25 นางสาว OPERATION SETUP,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00327,2026-02-24 08:32 นางสาว OPERATION SETUP,,,,,,,,
,,1. MINI011/Sushi Bento 2 Friends (หน่วย),1,245,0,228.97,,,,
,,2. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,238.32,0,238.32,16.68,255
สนามบินดอนเมือง,ABB-001-2602/00328,2026-02-24 08:35 นางสาว OPERATION SETUP,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),2,10,0,18.69,,,,
,,,,,,18.69,0,18.69,1.31,20
สนามบินดอนเมือง,ABB-001-2602/00329,2026-02-24 08:52 นางสาว OPERATION SETUP,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),2,10,0,18.69,,,,
,,,,,,18.69,0,18.69,1.31,20
สนามบินดอนเมือง,ABB-001-2602/00330,2026-02-24 08:52 นางสาว OPERATION SETUP,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00331,2026-02-24 09:16 นางสาว OPERATION SETUP,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00332,2026-02-24 09:17 นางสาว OPERATION SETUP,,,,,,,,
,,1. MINI009/Sushi Bento Super Maki S (หน่วย),1,200,0,186.92,,,,
,,,,,,186.92,0,186.92,13.08,200
สนามบินดอนเมือง,ABB-001-2602/00333,2026-02-24 09:32 นางสาว OPERATION SETUP,,,,,,,,
,,1. DON006/Saba Teriyaki Don (หน่วย),1,155,0,144.86,,,,
,,2. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),2,10,0,18.69,,,,
,,,,,,163.55,0,163.55,11.45,175
สนามบินดอนเมือง,ABB-001-2602/00334,2026-02-24 09:57 นางสาว OPERATION SETUP,,,,,,,,
,,1. DON004/Salmon Don (หน่วย),1,210,0,196.26,,,,
,,,,,,196.26,0,196.26,13.74,210
สนามบินดอนเมือง,ABB-001-2602/00335,2026-02-24 09:57 นางสาว OPERATION SETUP,,,,,,,,
,,1. DON004/Salmon Don (หน่วย),2,210,0,392.52,,,,
,,2. BEV006/ITOEN Unsweetened Green Tea (Bottle) 500 ml. (หน่วย),1,50,0,46.73,,,,
,,,,,,439.25,0,439.25,30.75,470
สนามบินดอนเมือง,ABB-001-2602/00336,2026-02-24 10:01 นางสาว OPERATION SETUP,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,2. DES004/Dorayaki (หน่วย),1,50,0,46.73,,,,
,,,,,,56.07,0,56.07,3.93,60
สนามบินดอนเมือง,ABB-001-2602/00337,2026-02-24 10:06 นางสาว OPERATION SETUP,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00338,2026-02-24 10:09 นางสาว OPERATION SETUP,,,,,,,,
,,1. MED007/Sushi Bento Mori Set (หน่วย),1,310,0,289.72,,,,
,,,,,,289.72,0,289.72,20.28,310
สนามบินดอนเมือง,ABB-001-2602/00339,2026-02-24 10:11 นางสาว OPERATION SETUP,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),3,10,0,28.04,,,,
,,,,,,28.04,0,28.04,1.96,30
สนามบินดอนเมือง,ABB-001-2602/00340,2026-02-24 10:18 นางสาว OPERATION SETUP,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00341,2026-02-24 10:20 นางสาว OPERATION SETUP,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00342,2026-02-24 10:23 นางสาว OPERATION SETUP,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),2,10,0,18.69,,,,
,,,,,,18.69,0,18.69,1.31,20
สนามบินดอนเมือง,ABB-001-2602/00343,2026-02-24 10:24 นางสาว OPERATION SETUP,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),3,10,0,28.04,,,,
,,,,,,28.04,0,28.04,1.96,30
สนามบินดอนเมือง,ABB-001-2602/00344,2026-02-24 10:32 นางสาว OPERATION SETUP,,,,,,,,
,,1. MED002/Sushi Bento Medium Set 2 (หน่วย),1,420,0,392.52,,,,
,,,,,,392.52,0,392.52,27.48,420
สนามบินดอนเมือง,ABB-001-2602/00345,2026-02-24 10:33 นางสาว OPERATION SETUP,,,,,,,,
,,1. BEV006/ITOEN Unsweetened Green Tea (Bottle) 500 ml. (หน่วย),1,50,0,46.73,,,,
,,,,,,46.73,0,46.73,3.27,50
สนามบินดอนเมือง,ABB-001-2602/00346,2026-02-24 10:50 นางสาว OPERATION SETUP,,,,,,,,
,,1. DON010/Buta Kimchi Don (หน่วย),1,145,0,135.51,,,,
,,,,,,135.51,0,135.51,9.49,145
สนามบินดอนเมือง,ABB-001-2602/00347,2026-02-24 10:57 นางสาว OPERATION SETUP,,,,,,,,
,,1. MINI001/Salmon Sushi 7 pcs. (หน่วย),1,210,0,196.26,,,,
,,2. APP005/Tako Wasabi (หน่วย),1,110,0,102.8,,,,
,,,,,,299.07,0,299.07,20.93,320
สนามบินดอนเมือง,ABB-001-2602/00348,2026-02-24 10:58 นางสาว OPERATION SETUP,,,,,,,,
,,1. DON004/Salmon Don (หน่วย),1,210,0,196.26,,,,
,,,,,,196.26,0,196.26,13.74,210
สนามบินดอนเมือง,ABB-001-2602/00349,2026-02-24 10:59 นางสาว OPERATION SETUP,,,,,,,,
,,1. MED005/Sushi Bento Super Rolls Set (หน่วย),1,310,0,289.72,,,,
,,2. DON004/Salmon Don (หน่วย),1,210,0,196.26,,,,
,,,,,,485.98,0,485.98,34.02,520
สนามบินดอนเมือง,ABB-001-2602/00350,2026-02-24 11:11 นางสาว OPERATION SETUP,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),36,10,0,336.45,,,,
,,,,,,336.45,0,336.45,23.55,360
สนามบินดอนเมือง,ABB-001-2602/00351,2026-02-24 11:13 นางสาว OPERATION SETUP,,,,,,,,
,,1. BEV007/ITOEN Elegant Jasmine Green Tea (Bottle) 500 ml. (หน่วย),1,50,0,46.73,,,,
,,,,,,46.73,0,46.73,3.27,50
สนามบินดอนเมือง,ABB-001-2602/00352,2026-02-24 11:15 นางสาว OPERATION SETUP,,,,,,,,
,,1. MINI004/Salmon Varity Set S (หน่วย),1,200,0,186.92,,,,
,,,,,,186.92,0,186.92,13.08,200
สนามบินดอนเมือง,ABB-001-2602/00353,2026-02-24 11:19 นางสาว OPERATION SETUP,,,,,,,,
,,1. MINI011/Sushi Bento 2 Friends (หน่วย),1,245,0,228.97,,,,
,,,,,,228.97,0,228.97,16.03,245
สนามบินดอนเมือง,ABB-001-2602/00354,2026-02-24 11:21 นางสาว OPERATION SETUP,,,,,,,,
,,1. MINI010/Sushi Bento Salmon 2 Tone (หน่วย),2,220,0,411.22,,,,
,,2. BEV008/Sprite (Can) 325ml. (หน่วย),1,30,0,28.04,,,,
,,3. DON015/Salmon Teriyaki Don (หน่วย),1,250,0,233.64,,,,
,,,,,,672.9,0,672.9,47.1,720
สนามบินดอนเมือง,ABB-001-2602/00355,2026-02-24 11:34 นางสาว OPERATION SETUP,,,,,,,,
,,1. DON010/Buta Kimchi Don (หน่วย),1,145,0,135.51,,,,
,,,,,,135.51,13.55,122.43,8.57,131
สนามบินดอนเมือง,ABB-001-2602/00356,2026-02-24 11:48 นางสาว OPERATION SETUP,,,,,,,,
,,1. BEV001/Singha Beer (Can) 320 ml. (หน่วย),1,90,0,84.11,,,,
,,2. MINI010/Sushi Bento Salmon 2 Tone (หน่วย),1,220,0,205.61,,,,
,,3. MED007/Sushi Bento Mori Set (หน่วย),1,310,0,289.72,,,,
,,,,,,579.44,0,579.44,40.56,620
สนามบินดอนเมือง,ABB-001-2602/00357,2026-02-24 11:56 นางสาว OPERATION SETUP,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,2. MINI014/Sushi Moriawase Set (หน่วย),1,220,0,205.61,,,,
,,,,,,214.95,0,214.95,15.05,230
สนามบินดอนเมือง,ABB-001-2602/00358,2026-02-24 11:56 นางสาว OPERATION SETUP,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00359,2026-02-24 11:57 นางสาว OPERATION SETUP,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00360,2026-02-24 11:57 นางสาว OPERATION SETUP,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),3,10,0,28.04,,,,
,,,,,,28.04,0,28.04,1.96,30
สนามบินดอนเมือง,ABB-001-2602/00361,2026-02-24 12:00 นางสาว OPERATION SETUP,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00362,2026-02-24 12:02 นางสาว OPERATION SETUP,,,,,,,,
,,1. DON015/Salmon Teriyaki Don (หน่วย),1,250,0,233.64,,,,
,,,,,,233.64,0,233.64,16.36,250
สนามบินดอนเมือง,ABB-001-2602/00363,2026-02-24 12:04 นางสาว OPERATION SETUP,,,,,,,,
,,1. APP007/Kimchi (หน่วย),1,60,0,56.07,,,,
,,,,,,56.07,0,56.07,3.93,60
สนามบินดอนเมือง,ABB-001-2602/00364,2026-02-24 12:04 นางสาว OPERATION SETUP,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
,,,,,,9.35,0,9.35,0.65,10
สนามบินดอนเมือง,ABB-001-2602/00365,2026-02-24 12:07 นางสาว OPERATION SETUP,,,,,,,,
,,1. BEV007/ITOEN Elegant Jasmine Green Tea (Bottle) 500 ml. (หน่วย),1,50,0,46.73,,,,
,,2. BEV002/Asahi Beer (Can) 330 ml. (หน่วย),1,90,0,84.11,,,,
,,,,,,130.84,0,130.84,9.16,140
สนามบินดอนเมือง,ABB-001-2602/00366,2026-02-24 12:09 นางสาว OPERATION SETUP,,,,,,,,
,,1. MED001/Sushi Bento Medium Set 1 (หน่วย),1,385,0,359.81,,,,
,,,,,,359.81,0,359.81,25.19,385
สนามบินดอนเมือง,ABB-001-2602/00367,2026-02-24 12:11 นางสาว OPERATION SETUP,,,,,,,,
,,1. MINI014/Sushi Moriawase Set (หน่วย),1,220,0,205.61,,,,
,,2. MINI001/Salmon Sushi 7 pcs. (หน่วย),1,210,0,196.26,,,,
,,3. MINI012/Sushi Bento Aburi Set (หน่วย),1,275,0,257.01,,,,
,,,,,,658.88,0,658.88,46.12,705
สนามบินดอนเมือง,ABB-001-2602/00368,2026-02-24 12:12 นางสาว OPERATION SETUP,,,,,,,,
,,1. MINI001/Salmon Sushi 7 pcs. (หน่วย),1,210,0,196.26,,,,
,,,,,,196.26,0,196.26,13.74,210
สนามบินดอนเมือง,ABB-001-2602/00369,2026-02-24 12:19 นางสาว OPERATION SETUP,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),2,10,0,18.69,,,,
,,,,,,18.69,0,18.69,1.31,20
สนามบินดอนเมือง,ABB-001-2602/00370,2026-02-24 12:22 นางสาว OPERATION SETUP,,,,,,,,
,,1. BEV005/Namthip Drinking Water (Bottle) 550 ml. (หน่วย),1,10,0,9.35,,,,
